,question,chunks
0,Is there any state law that assigns liability for a car accident to the manufacturer of the car or any other third party involved?,"Page 2 of 2 
Tenn. Code Ann. § 56 -2-1005 
   date of discovery of the event. The licensee s hall provide the writing to the commissioner upon 
request.  
History    
                                     
Acts 2021, ch. 345, §  1.                                  
 
TENNESSEE CODE ANNOTATED  
Copyright © 2024 by The State of Tennessee All rights reserved  
 
 
End of Document"
1,,"Page 2 of 2 
47-18-2104. Private rights of action.  
   (g)  Upon a finding by the court that a provision of this part has been violated, the court may 
award  to the person bringing such action reasonable attorneys' fees and costs.  
History    
                                     
Acts 1999, ch. 201, §  5; 2019, ch. 459, §  38.                                  
 
TENNESSEE CODE ANNOTATED  
Copyright © 2024 by The State  of Tennessee All rights reserved  
 
 
End of Document"
2,,"Page 4 of 4 
Tenn. Code Ann. § 56 -2-1006 
   provider notifying the licensee of the cyber security event or the licensee otherwise gaining 
actual knowledge of the cybersecurity event, whichever is sooner.  
(B)  The ceding insurers that have a direct contractual relationship with affected consumers 
shall fulfill the consumer notification requirements required under this section.  
(3)  Except as provided in this subsection (e), a licensee acting as assuming insurer has no 
other notice obligations relating to a cybersecurity event under this section.  
(f)  In the case of a cybersecurity event involving nonpublic information in the possession, 
custody, or control of a licensee that is an insurer, or the third -party service provider for which a 
consumer accessed the insurer's services through an independent insurance producer, and for 
which consu mer notice is required under this part, the insurer shall notify the producers of record 
of all affected consumers, if known, as soon as practicable, but not later than when such notice is 
provided to the affected consumers. The insurer is excused from thi s obligation in those instances 
in which the insurer does not have the current producer of record information for an individual 
consumer.  
History    
                                     
Acts 2021, ch. 345, §  1.                                  
 
TENNESSEE C ODE ANNOTATED  
Copyright © 2024 by The State of Tennessee All rights reserved  
 
 
End of Document"
3,,"Page 3 of 3 
Tenn. Code Ann. § 56 -2-1003 
   (C)  Information or data, except a person's age or sex, created by or derived from a 
healthcare provider or a consume r that relates to:  
(i)  The past, present, or future physical, mental, or behavioral health or health 
condition of a consumer or a member of a consumer's immediate family;  
(ii)  The provision of health care to a consumer; or  
(iii)  Payment for the provision of health care to a consumer;  
(13)  “Person” means an individual or non -governmental entity, including a sole 
proprietorship, corporation, limited liability company, partnership, trust, religious organization, 
association, nonprofit organization described in §  501(c) of the Internal Revenue Code that is 
exempt from federal income taxation under §  501(a) of the Internal Revenue Code (26 U.S.C. 
§ 501(a)), or another legal entity, whether formed as a for -profit or not -for-profit entity;  
(14)  “Public ly available information” means information that a licensee has a reasonable basis 
to believe is lawfully made available to the public. For purposes of this subdivision (14), a 
licensee has a reasonable basis to believe that information is lawfully made av ailable to the 
public if the licensee has taken steps reasonably necessary to determine:  
(A)  That the information is of a type that is available to the public through government 
records, widely distributed media, or public disclosures required by law; or  
(B)  That a consumer can direct that the information not be made available to the public 
and, if so, that the consumer has not made that direction;  
(15)  “Risk assessment” means the risk assessment that each licensee must conduct under §  56-
2-1004(3); and  
(16)  “Third -party service provider” means a person, not otherwise defined as a licensee, that 
contracts with a licensee to maintain, process, or store, or is otherwise permitted access to 
maintain, process, or store, nonpublic information through its prov ision of services to the 
licensee.  
History    
                                     
Acts 2021, ch. 345, §  1.                                  
 
TENNESSEE CODE ANNOTATED  
Copyright © 2024 by The State of Tennessee All rights reserved  
 
 
End of Document"
4,,"Page 5 of 5 
Tenn. Code Ann. § 56 -2-1004 
    
TENNESSEE CODE ANNOTATED  
Copyright © 2024 by The State of Tennessee All rights reserved  
 
 
End of Document"
5,,"Page 2 of 2 
§ 349 -e. Counterfeit and non -functional airbags  
   (b)  Any person who violates any provision of this subdivision is guilty of a class A 
misdemeanor punishable as provided for in the penal law.  
3.  Whenever there shall be a violation of this sec tion involving twenty -five or more counterfeit 
and/or non -functional airbags, or any second or subsequent violation of subdivision two of this 
section, application may be made by the attorney general in the name of the people of the state of 
New York to a court or justice having jurisdiction by a special proceeding to issue an injunction, 
and upon notice to the defendant of not less than five days, to enjoin and restrain the continuance 
of such violation; and if it shall appear to the satisfaction of the co urt or justice that the defendant 
has, in fact, violated this section, an injunction may be issued by such court or justice, enjoining 
and restraining any further violation, without requiring proof that any person has, in fact, been 
injured or damaged ther eby. In connection with any such proposed application, the attorney 
general is authorized to take proof and make a determination of the relevant facts and to issue 
subpoenas in accordance with the civil practice law and rules. Any person who violates this 
section and such violation involves twenty -five or more counterfeit and/or non -functional airbags, 
or a second or subsequent violation of subdivision two of this section shall be subject to a civil 
penalty of not more than one thousand dollars for each vio lation. No person shall be deemed to 
have violated the provisions of this section if such person, shows, by a preponderance of the 
evidence, that the violation was not intentional and resulted from a bona fide error made 
notwithstanding the maintenance of procedures reasonably adopted to avoid such error.  
History   
 
Add, L 2013, ch 201, § 2, eff Nov 1, 2013.  
 
New York Consolidated Laws Service  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
6,,"Trayce Hockstad   
NY CLS Gen Bus § 349 -e 
Current through 2024 released Chapters 1 -59, 61-117 
 
New York Consolidated Laws Service   >  General Business Law (§§ 1 — 1601)   >  Article 22 -A Consumer 
Protection from Deceptive Acts and Practices (§§ 349 — 350-f-1) 
 
§ 349 -e. Counterfeit and non -functional airbags   
 
1.  As used in this section:  
(a)  “Airbag” shall mean any component of an inflatable restraint system, as such term is 
defined in section one hundred nineteen -b of the vehicle and traffic law, and that is designed 
for the specific make, model, and year of the motor vehicle to be insta lled and to operate in the 
event of a crash. Airbag components include but are not limited to the cover, sensors, 
controllers, inflator, wiring, and the airbag itself.  
(b)  “Counterfeit airbag” shall mean an airbag that bears, without authorization, a mark  
identical with, or substantially similar to, the genuine mark of the manufacturer of such motor 
vehicle.  
(c)  “Non -functional airbag” shall mean a replacement airbag that has been previously 
deployed or damaged, or that has an electrical fault that is det ected by the readiness indicator 
light, as such term is defined in section one hundred nineteen -b of the vehicle and traffic law, 
after the installation procedure is completed. “Non -functional airbag” shall also mean any 
object, including a counterfeit or repaired airbag component installed to deceive the vehicle 
owner or operator into believing a functional airbag is installed.  
(d)  “Person” shall mean any person, partnership, firm, corporation, company, trust, 
association, or any agent or employee thereof.  
2.   
(a)  It shall be unlawful for any person to knowingly:  
(i)  make, offer to distribute or distribute, offer to sell or sell a counterfeit or a non -
functional airbag;  
(ii)  install or reinstall a counterfeit airbag or a non -functional airbag in  any motor vehicle, 
as that term is defined in section one hundred twenty -five of the vehicle and traffic law;  
(iii)  offer to distribute or distribute, offer to sell or sell, install or reinstall a counterfeit or 
non-functional airbag so that the readines s indicator light, as such term is defined in section 
one hundred nineteen -b of the vehicle and traffic law, falsely displays that the airbag is in 
proper working order; or  
(iv)  represent to another person that a counterfeit airbag or a non -functional air bag 
installed or reinstalled in a motor vehicle is an airbag."
7,,"Page 2 of 2 
§ 350 -b-1. Disclosures required in advertisements using a senior specific designation.  
   satisfaction of the court or justice that t he defendant has, in fact, violated this section, an injunction 
may be issued by such court or justice, enjoining and restraining any further violation, without 
requiring proof that any person has, in fact, been injured or damaged thereby. In connection wi th 
any such proposed application, the attorney general is authorized to take proof and make a 
determination of the relevant facts and to issue subpoenas in accordance with the civil practice law 
and rules. In any such proceeding, the court may make allowan ces to the attorney general as 
provided in paragraph six of subdivision (a) of section eighty -three hundred three of the civil 
practice law and rules, and direct restitution.  
History   
 
L 2014, ch 432, § 1, effective November 21, 2014.  
 
New York Consolidat ed Laws Service  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
8,,"Page 3 of 3 
§ 349 -b. Residential telephone equipment advertising, sale and warranty requirements  
   10.  Any person who has been injured by reason of any violation of this section may bring an 
action to enjoin such unlawful act or practice and to recover actual damages or fifty dollars, 
whichever is greater. The court may, in its dis cretion, increase the award of damages to an amount 
not to exceed three times the actual damages up to one thousand dollars if the court finds the 
defendant willfully or knowingly violated this section.  
11.  Any agreement entered into by a consumer for the  purchase of new residential telephone 
equipment, rebuilt residential telephone equipment or used residential telephone equipment which 
waives, limits or disclaims the rights set forth in this section shall be void as contrary to the public 
policy.  
12.  Any action brought pursuant to this section shall be commenced within three years of the date 
of original delivery of such equipment to the consumer or purchaser.  
13.  A court may award reasonable attorney’s fees to a prevailing plaintiff.  
History   
 
Add, L 1987, ch 255, § 2, eff Jan 1, 1988 (see 1987 note below).  
 
New York Consolidated Laws Service  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
9,,"Trayce Hockstad   
NY CLS Gen Bus § 350 -b 
Current through 2024 released Chapters 1 -59, 61 -117 
 
New York Consolidated Laws Service   >  General Business Law (§§ 1 — 1601)   >  Article 22 -A Consumer 
Protection from Deceptive Acts and Practices (§§ 349 — 350-f-1) 
 
§ 350 -b. Disclosures required in advertisements using the title “doctor”   
 
1.  Any person who uses the title “doctor” in making representations for the purpose of inducing, 
or which are likely to induce, directly or indirectly, the purchase of (a) drugs, devices or cosmetics, 
as defined in section sixty -eight hundred two of the educa tion law, or (b) other goods or services 
intended to diagnose, treat, mitigate, prevent or cure any human disease, pain, injury, deformity, 
nutritional deficiency or physical condition, or which are intended to appear to the purchaser of 
such goods or serv ices to have done so, shall conspicuously disclose the profession in which he or 
she is licensed, except that, where no license is required by the department of education, such 
person shall conspicuously disclose the major subject in which the degree was e arned and the 
name of the institution that issued the degree provided, however, that such person shall be 
prohibited from using the title “doctor” unless the degree was conferred by an institution of higher 
education authorized by law to confer doctoral de grees in the state where it is located. For the 
purposes of this section, “conspicuously” shall mean equally in size, type or prominence and 
positioned adjacent to the title “doctor”. The requirements of this subdivision supplement, and 
shall not be constr ued to limit, the obligations of health professionals pursuant to the education law 
and regulations thereunder, nor shall they be construed to authorize the practice of any licensed 
profession nor the offer of professional services by any unlicensed person . 
2.  In addition to any civil penalty available under section three hundred fifty -d of this article, 
whenever there shall be an actual or threatened violation of this section an application may be 
made to a court or justice having jurisdiction to issue an  injunction, upon notice to the defendant of 
not less than five days, to enjoin and restrain such actual or threatened violation; if it shall appear 
to the satisfaction of the court or justice that the defendant is in fact assuming, adopting or using 
such title or is about to assume, adopt or use such title and that the assumption, adoption or use of 
such title may deceive or mislead the public, an injunction may be issued by said court or justice 
enjoining and restraining such actual or threatened violatio n without requiring proof that any 
person has in fact been deceived or misled thereby.  
History   
 
Add, L 1989, ch 65, § 1, eff July 20, 1989; amd, L 1991, ch 159, § 1, eff May 31, 1991.  
 
New York Consolidated Laws Service  
Copyright © 2024 All rights reserv ed."
